Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Acc_3,F1_score_3,Loss
rcm_4,"(77.95, 1.76)","(78.36, 1.42)","(81.34, 0.53)","(81.26, 0.42)","(69.58, 1.2)","(68.25, 1.09)","(135.75, 14.39)"
rcm_4,"(80.35, 1.34)","(80.42, 1.3)","(82.27, 1.1)","(81.98, 1.24)","(70.85, 1.19)","(67.42, 2.54)","(310.12, 11.13)"
rcm_4,"(78.51, 1.05)","(78.86, 0.65)","(81.08, 0.77)","(81.0, 0.92)","(68.97, 1.04)","(68.02, 0.97)","(123.24, 20.65)"
rcm_4,"(80.05, 0.98)","(80.17, 0.93)","(82.16, 0.82)","(81.91, 0.93)","(70.59, 0.75)","(67.11, 1.99)","(309.25, 10.7)"
rcm_4,"(80.57, 1.36)","(80.64, 1.34)","(82.63, 1.06)","(82.34, 1.23)","(70.9, 0.99)","(67.01, 1.73)","(312.79, 7.47)"
rcm_4,"(79.52, 1.93)","(79.53, 1.47)","(81.65, 0.47)","(81.27, 0.75)","(70.15, 0.96)","(66.93, 1.66)","(100.58, 1.63)"
rcm_4,"(78.99, 1.14)","(78.95, 0.88)","(81.19, 1.21)","(80.72, 1.62)","(69.67, 1.29)","(65.69, 2.25)","(77.26, 1.72)"
rcm_4,"(79.7, 1.67)","(79.88, 1.47)","(82.32, 0.7)","(82.09, 0.71)","(71.03, 0.64)","(68.05, 1.15)","(546.01, 13.75)"
rcm_4,"(80.44, 1.21)","(80.52, 1.16)","(82.37, 0.97)","(82.1, 1.12)","(71.03, 1.04)","(67.62, 2.38)","(309.87, 10.25)"
rcm_4,"(80.31, 1.54)","(80.3, 1.35)","(81.91, 1.21)","(81.56, 1.44)","(70.63, 1.26)","(66.97, 2.38)","(264.02, 8.17)"
rcm_4,"(80.53, 1.26)","(80.49, 1.06)","(82.12, 1.11)","(81.74, 1.4)","(70.63, 1.03)","(66.86, 2.09)","(263.26, 6.05)"
rcm_3,"(80.74, 1.59)","(81.01, 1.28)","(83.35, 0.53)","(83.24, 0.38)","(71.12, 0.6)","(68.2, 0.39)","(375.77, 9.1)"
rcm_3,"(81.27, 0.79)","(81.5, 0.69)","(83.92, 0.48)","(83.79, 0.52)","(71.86, 0.7)","(69.46, 0.68)","(370.03, 11.34)"
rcm_3,"(80.65, 1.42)","(80.92, 1.12)","(83.45, 0.97)","(83.33, 1.01)","(71.55, 0.92)","(68.28, 1.0)","(376.13, 9.97)"
rcm_3,"(80.65, 1.53)","(80.93, 1.39)","(83.66, 0.81)","(83.54, 0.81)","(72.12, 0.85)","(69.42, 0.94)","(375.29, 10.77)"
rcm_3,"(81.0, 1.07)","(81.25, 0.87)","(83.87, 0.62)","(83.73, 0.69)","(72.03, 0.49)","(69.42, 0.9)","(373.73, 9.16)"
rcm,"(42.71, 17.83)","(36.98, 17.62)","(41.19, 15.23)","(34.25, 14.65)","(24.33, 10.76)","(18.37, 13.24)","(236.27, 5.91)"
rcm_5,"(81.66, 1.18)","(81.84, 1.04)","(83.71, 0.53)","(83.57, 0.67)","(71.64, 0.81)","(69.25, 0.69)","(311.27, 5.11)"
